old_path,new_path,stage,role,executable_or_helper
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/12b_fit_rj_city_u10_ad099.R,02_Script/05_rio_de_janeiro_pipeline/02_transmission_fitting/06_fit_rj_city_u10_ad099.R,02_transmission_fitting,city U10-serology rescue fit (adapt_delta=0.99),executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/05_rj_global_q_diagnostics.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/01_rj_global_q_diagnostics.R,03_model_diagnostics,state global-q diagnostics,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/07_plot_rj_six_panel.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/02_plot_rj_six_panel.R,03_model_diagnostics,state six-panel plot,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/08_plot_rj_fixedq_panels.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/03_plot_rj_fixedq_panels.R,03_model_diagnostics,state fixed-q sweep panel plots,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/09_rj_u10_caseonly_validation.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/04_rj_u10_caseonly_validation.R,03_model_diagnostics,state vs city U10 external plausibility check,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/13_rj_city_caseonly_diagnostics.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/05_rj_city_caseonly_diagnostics.R,03_model_diagnostics,city case-only diagnostics,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/14_rj_city_u10_diagnostics.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/06_rj_city_u10_diagnostics.R,03_model_diagnostics,city U10 diagnostics,executable
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/scripts/15_rj_city_ab_final_comparison.R,02_Script/05_rio_de_janeiro_pipeline/03_model_diagnostics/07_rj_city_ab_final_comparison.R,03_model_diagnostics,city A/B final comparison,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/01_mt_data_audit.R,02_Script/06_mato_grosso_pipeline/01_input_preparation/01_mt_data_audit.R,01_input_preparation,MT data audit,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/02_mt_episode_audit.R,02_Script/06_mato_grosso_pipeline/01_input_preparation/02_mt_episode_audit.R,01_input_preparation,MT episode audit,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/03_mt_v49_input_audit.R,02_Script/06_mato_grosso_pipeline/01_input_preparation/03_mt_v49_input_audit.R,01_input_preparation,MT v4.9 input audit,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/04_fit_mt_global_q_case_only.R,02_Script/06_mato_grosso_pipeline/02_transmission_fitting/01_fit_mt_global_q_case_only.R,02_transmission_fitting,global-q case-only fit,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/04b_fit_mt_global_q_case_only_ad098.R,02_Script/06_mato_grosso_pipeline/02_transmission_fitting/02_fit_mt_global_q_case_only_ad098.R,02_transmission_fitting,global-q case-only rescue fit (adapt_delta=0.98),executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/08_fit_mt_fixed_q_profile.R,02_Script/06_mato_grosso_pipeline/02_transmission_fitting/03_fit_mt_fixed_q_profile.R,02_transmission_fitting,fixed-q profile fit (q=0.020-0.070),executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/05_mt_global_q_diagnostics.R,02_Script/06_mato_grosso_pipeline/03_model_diagnostics/01_mt_global_q_diagnostics.R,03_model_diagnostics,global-q diagnostics,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/06_plot_mt_hmc_diagnostics.R,02_Script/06_mato_grosso_pipeline/03_model_diagnostics/02_plot_mt_hmc_diagnostics.R,03_model_diagnostics,HMC diagnostics plot,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/07_plot_mt_six_panel.R,02_Script/06_mato_grosso_pipeline/03_model_diagnostics/03_plot_mt_six_panel.R,03_model_diagnostics,six-panel plot,executable
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/scripts/09_mt_fixed_q_analysis.R,02_Script/06_mato_grosso_pipeline/03_model_diagnostics/04_mt_fixed_q_analysis.R,03_model_diagnostics,fixed-q profile analysis,executable
02_Script/40_renewal_model/10_episode_renewal/01_fit_ceara_episode_re.R,02_Script/07_national_pipeline/01_episode_renewal/01_fit_ceara_episode_re.R,01_episode_renewal,Ceara early-phase episode Re fit,executable
02_Script/40_renewal_model/10_episode_renewal/02_plot_ceara_episode_re.R,02_Script/07_national_pipeline/01_episode_renewal/02_plot_ceara_episode_re.R,01_episode_renewal,Ceara early-phase episode Re diagnostics,executable
02_Script/40_renewal_model/11_major_episode_renewal/01_fit_ceara_major_episode_re6.R,02_Script/07_national_pipeline/02_major_episode_renewal/01_fit_ceara_major_episode_re6.R,02_major_episode_renewal,Ceara major-outbreak (6wk) episode Re fit,executable
02_Script/40_renewal_model/11_major_episode_renewal/02_plot_ceara_major_episode_re6.R,02_Script/07_national_pipeline/02_major_episode_renewal/02_plot_ceara_major_episode_re6.R,02_major_episode_renewal,Ceara major-outbreak episode Re diagnostics,executable
02_Script/40_renewal_model/12_episode_susceptibility_reconstruction/01_prepare_ceara_episode_periods.R,02_Script/07_national_pipeline/03_episode_susceptibility_reconstruction/01_prepare_ceara_episode_periods.R,03_episode_susceptibility_reconstruction,prepare episode periods,helper
02_Script/40_renewal_model/12_episode_susceptibility_reconstruction/02_fit_ceara_episode_susceptibility.R,02_Script/07_national_pipeline/03_episode_susceptibility_reconstruction/02_fit_ceara_episode_susceptibility.R,03_episode_susceptibility_reconstruction,episode-sequential susceptibility fit (HMC gate 3/7 pass -- pre-existing finding),executable
02_Script/40_renewal_model/12_episode_susceptibility_reconstruction/03_diagnose_ceara_episode_susceptibility.R,02_Script/07_national_pipeline/03_episode_susceptibility_reconstruction/03_diagnose_ceara_episode_susceptibility.R,03_episode_susceptibility_reconstruction,episode susceptibility diagnostics,executable
02_Script/40_renewal_model/13_national_episode_census/01_build_brazil_chik_episode_census.R,02_Script/07_national_pipeline/04_national_episode_census/01_build_brazil_chik_episode_census.R,04_national_episode_census,frozen Brazil-wide episode census,executable
02_Script/40_renewal_model/14_national_wave_census_v2/01_build_brazil_chik_wave_census_v2.R,02_Script/07_national_pipeline/05_national_wave_census_v2/01_build_brazil_chik_wave_census_v2.R,05_national_wave_census_v2,frozen Brazil-wide wave census (v2),executable
02_Script/40_renewal_model/15_national_wave_analysis/00_national_wave_analysis_helpers.R,02_Script/07_national_pipeline/06_national_wave_analysis/00_national_wave_analysis_helpers.R,06_national_wave_analysis,shared helpers,helper
02_Script/40_renewal_model/15_national_wave_analysis/01_fit_brazil_major_wave_early_re.R,02_Script/07_national_pipeline/06_national_wave_analysis/01_fit_brazil_major_wave_early_re.R,06_national_wave_analysis,nationwide early-Re fit per major wave,executable
02_Script/40_renewal_model/15_national_wave_analysis/02_fit_brazil_annual_shape_susceptibility.R,02_Script/07_national_pipeline/06_national_wave_analysis/02_fit_brazil_annual_shape_susceptibility.R,06_national_wave_analysis,annual SHAPE FOI susceptibility fit (state batch),executable
02_Script/40_renewal_model/15_national_wave_analysis/03_reconstruct_brazil_weekly_susceptibility.R,02_Script/07_national_pipeline/06_national_wave_analysis/03_reconstruct_brazil_weekly_susceptibility.R,06_national_wave_analysis,retrospective weekly susceptibility placement,executable
02_Script/40_renewal_model/15_national_wave_analysis/04_build_brazil_wave_analysis_master.R,02_Script/07_national_pipeline/06_national_wave_analysis/04_build_brazil_wave_analysis_master.R,06_national_wave_analysis,build wave analysis master table,executable
02_Script/40_renewal_model/15_national_wave_analysis/05_plot_brazil_early_re_diagnostics.R,02_Script/07_national_pipeline/06_national_wave_analysis/05_plot_brazil_early_re_diagnostics.R,06_national_wave_analysis,early-Re diagnostics plots,executable
02_Script/40_renewal_model/15_national_wave_analysis/06_plot_brazil_annual_early_re_maps.R,02_Script/07_national_pipeline/06_national_wave_analysis/06_plot_brazil_annual_early_re_maps.R,06_national_wave_analysis,annual early-Re maps,executable
02_Script/40_renewal_model/15_national_wave_analysis/07_plot_brazil_susceptibility_diagnostics.R,02_Script/07_national_pipeline/06_national_wave_analysis/07_plot_brazil_susceptibility_diagnostics.R,06_national_wave_analysis,susceptibility diagnostics plots,executable
02_Script/40_renewal_model/15_national_wave_analysis/08_diagnose_brazil_annual_q_implied.R,02_Script/07_national_pipeline/06_national_wave_analysis/08_diagnose_brazil_annual_q_implied.R,06_national_wave_analysis,implied-q diagnostic,executable
02_Script/40_renewal_model/15_national_wave_analysis/09_build_brazil_uf_weekly_climate.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/01_build_brazil_uf_weekly_climate.R,07_provisional_climate_susceptibility_checkpoint,national 27-UF weekly climate table,executable
02_Script/40_renewal_model/15_national_wave_analysis/10_extract_wave_onset_susceptibility_draws.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/02_extract_wave_onset_susceptibility_draws.R,07_provisional_climate_susceptibility_checkpoint,extract wave-onset susceptibility draws,executable
02_Script/40_renewal_model/15_national_wave_analysis/11_build_episode_climate_dataset.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/03_build_episode_climate_dataset.R,07_provisional_climate_susceptibility_checkpoint,build episode climate dataset,executable
02_Script/40_renewal_model/15_national_wave_analysis/12_fit_provisional_gam_models.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/04_fit_provisional_gam_models.R,07_provisional_climate_susceptibility_checkpoint,provisional GAM comparison,executable
02_Script/40_renewal_model/15_national_wave_analysis/13_fit_provisional_gam_monte_carlo.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/05_fit_provisional_gam_monte_carlo.R,07_provisional_climate_susceptibility_checkpoint,provisional GAM Monte Carlo,executable
02_Script/40_renewal_model/15_national_wave_analysis/14_plot_provisional_episode_figures.R,02_Script/07_national_pipeline/07_provisional_climate_susceptibility_checkpoint/06_plot_provisional_episode_figures.R,07_provisional_climate_susceptibility_checkpoint,provisional checkpoint figures,executable
02_Script/40_renewal_model/15_national_wave_analysis/15_build_first_episode_eligibility.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/01_build_first_episode_eligibility.R,08_first_epidemic_climate_transmission,first-episode eligibility (27 UFs),executable
02_Script/40_renewal_model/15_national_wave_analysis/16_build_first_episode_weekly_re.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/02_build_first_episode_weekly_re.R,08_first_epidemic_climate_transmission,first-episode weekly early-Re,executable
02_Script/40_renewal_model/15_national_wave_analysis/17_build_first_episode_climate_covariates.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/03_build_first_episode_climate_covariates.R,08_first_epidemic_climate_transmission,first-episode climate covariates,executable
02_Script/40_renewal_model/15_national_wave_analysis/18_fit_first_episode_climate_gam.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/04_fit_first_episode_climate_gam.R,08_first_epidemic_climate_transmission,first-episode climate GAM,executable
02_Script/40_renewal_model/15_national_wave_analysis/19_fit_first_episode_climate_gam_mc.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/05_fit_first_episode_climate_gam_mc.R,08_first_epidemic_climate_transmission,first-episode climate GAM Monte Carlo,executable
02_Script/40_renewal_model/15_national_wave_analysis/20_plot_first_episode_climate_figures.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/06_plot_first_episode_climate_figures.R,08_first_epidemic_climate_transmission,first-episode climate figures,executable
02_Script/40_renewal_model/15_national_wave_analysis/21_diagnose_first_episode_climate_model.R,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/07_diagnose_first_episode_climate_model.R,08_first_epidemic_climate_transmission,first-episode climate model diagnostics,executable
02_Script/40_renewal_model/15_national_wave_analysis/FIRST_EPIDEMIC_CLIMATE_TRANSMISSION_REPORT.md,02_Script/07_national_pipeline/08_first_epidemic_climate_transmission/FIRST_EPIDEMIC_CLIMATE_TRANSMISSION_REPORT.md,08_first_epidemic_climate_transmission,design/result report,doc
02_Script/40_renewal_model/15_national_wave_analysis/22_build_recurrent_climate_susceptibility_episodes.R,02_Script/07_national_pipeline/09_recurrent_climate_susceptibility_phase/01_build_recurrent_climate_susceptibility_episodes.R,09_recurrent_climate_susceptibility_phase,recurrent episode selection (BA/RJ/MT),executable
02_Script/40_renewal_model/15_national_wave_analysis/23_plot_recurrent_climate_susceptibility_phase.R,02_Script/07_national_pipeline/09_recurrent_climate_susceptibility_phase/02_plot_recurrent_climate_susceptibility_phase.R,09_recurrent_climate_susceptibility_phase,recurrent phase figures,executable
02_Script/40_renewal_model/15_national_wave_analysis/24_build_recurrent_weekly_opportunity_panel.R,02_Script/07_national_pipeline/09_recurrent_climate_susceptibility_phase/03_build_recurrent_weekly_opportunity_panel.R,09_recurrent_climate_susceptibility_phase,weekly opportunity panel,executable
02_Script/40_renewal_model/15_national_wave_analysis/25_plot_recurrent_climate_susceptibility_opportunities.R,02_Script/07_national_pipeline/09_recurrent_climate_susceptibility_phase/04_plot_recurrent_climate_susceptibility_opportunities.R,09_recurrent_climate_susceptibility_phase,all-opportunities figures,executable
02_Script/40_renewal_model/16_grid_susceptibility_reconstruction/01_reconstruct_brazil_grid_susceptibility.R,02_Script/07_national_pipeline/10_grid_susceptibility_reconstruction/01_reconstruct_brazil_grid_susceptibility.R,10_grid_susceptibility_reconstruction,bottom-up grid susceptibility reconstruction,executable
02_Script/40_renewal_model/16_grid_susceptibility_reconstruction/02_plot_brazil_grid_susceptibility_maps.R,02_Script/07_national_pipeline/10_grid_susceptibility_reconstruction/02_plot_brazil_grid_susceptibility_maps.R,10_grid_susceptibility_reconstruction,grid susceptibility maps,executable
02_Script/40_susceptibility/02_annual_foi_shape_v2/01_prepare_annual_foi_shape_v2.R,02_Script/07_national_pipeline/11_annual_foi_shape_v2/01_prepare_annual_foi_shape_v2.R,11_annual_foi_shape_v2,prepare annual FOI shape v2 data,executable
02_Script/40_susceptibility/02_annual_foi_shape_v2/02_fit_annual_foi_shape_v2.R,02_Script/07_national_pipeline/11_annual_foi_shape_v2/02_fit_annual_foi_shape_v2.R,11_annual_foi_shape_v2,fit 6 SHAPE/NB2 sensitivity variants,executable
02_Script/40_susceptibility/02_annual_foi_shape_v2/03_diagnose_annual_foi_shape_v2.R,02_Script/07_national_pipeline/11_annual_foi_shape_v2/03_diagnose_annual_foi_shape_v2.R,11_annual_foi_shape_v2,diagnose annual FOI shape v2 fits,executable
02_Script/40_susceptibility/02_annual_foi_shape_v2/04_build_ceara_episode_driver_overlay.R,02_Script/07_national_pipeline/11_annual_foi_shape_v2/04_build_ceara_episode_driver_overlay.R,11_annual_foi_shape_v2,Ceara episode driver overlay,executable
02_Script/30_climate_covariates_dlnm (whole folder, 1 file),02_Script/90_development_archive/07_old_climate_experiments/30_climate_covariates_dlnm,90_development_archive,duplicate/legacy covariates baseline moved to archive as a whole folder per explicit user decision,archived
02_Script/40_renewal_model/17_v4_0_minimal_no_vaccine (whole folder),02_Script/00_shared/legacy_model_functions/17_v4_0_minimal_no_vaccine,00_shared,live shared dependency (generation_weights/compute_hmc_gate base) -- scripts only; no outputs existed,live-dependency
02_Script/40_renewal_model/22_v4_3_short_2015_2019_q_calibration (scripts+docs),02_Script/00_shared/legacy_model_functions/22_v4_3_short_2015_2019_q_calibration,00_shared,live shared dependency -- scripts+audit docs,live-dependency
02_Script/40_renewal_model/22_v4_3_short_2015_2019_q_calibration/outputs,03_Output/model_fits/ceara/v4_3_short_2015_2019_q_calibration/outputs,model_fits,fit outputs (untracked by git; plain mv),model_fits
02_Script/40_renewal_model/27_v4_8_seeded_recurrence (scripts+docs),02_Script/00_shared/legacy_model_functions/27_v4_8_seeded_recurrence,00_shared,live shared dependency,live-dependency
02_Script/40_renewal_model/27_v4_8_seeded_recurrence/outputs,03_Output/model_fits/ceara/v4_8_seeded_recurrence/outputs,model_fits,fit outputs,model_fits
02_Script/40_renewal_model/28_v4_9_hierarchical_seasonality (scripts),02_Script/00_shared/legacy_model_functions/28_v4_9_hierarchical_seasonality,00_shared,current frozen v4.9 structure every state replication is built on,live-dependency
02_Script/40_renewal_model/28_v4_9_hierarchical_seasonality/outputs,03_Output/model_fits/ceara/v4_9_hierarchical_seasonality/outputs,model_fits,fit outputs,model_fits
02_Script/40_renewal_model/{01_v1,02_v2,03_v2_1,04_v2_2,05_v3_0_spatial,06_v3_1_minimal_spatial,07_v3_2_coarse_regional,09_v2_3_state,18_v4_1_minimal_no_vaccine,19_v4_1_modular_q,20_v4_1_q_only,21_v4_2_q_juazeiro_serology,23_v4_4_four_week_observation,24_v4_5_burden_shape_observation,25_v4_6_fixed_q_sweep,26_v4_7_fixed_q_full_period,29_v5_0_dynamic_R} (17 whole folders),02_Script/90_development_archive/02_historical_renewal_versions/<same names>,90_development_archive,genuinely frozen/unreferenced-by-any-live-pipeline dev history; moved as whole folders preserving internal structure,archived
02_Script/40_renewal_model/{10_episode_renewal...16_grid_susceptibility_reconstruction} (leftover README pointers + 2 report .md),02_Script/07_national_pipeline/09_recurrent_climate_susceptibility_phase/ (for the 2 reports); folders then deleted,07_national_pipeline,scripts already moved earlier; this batch cleared the remaining pointer shells,cleanup
02_Script/40_renewal_model/36_climate_forced_v4_9/outputs,03_Output/model_fits/ceara/climate_forced_v4_9/outputs,model_fits,Ceara accepted climate-forced v4.9 fit (ce_canary),model_fits
02_Script/40_renewal_model/36_climate_forced_v4_9 (5 .md docs),03_Output/reports/climate_forced_v4_9,reports,design/result reports,reports
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/{diagnostics,tables},03_Output/{diagnostics,tables}/ceara_historical_age12_vaccine_counterfactual,diagnostics+tables,QA checks and TABLE1-3/NNV tables,tables+diagnostics
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/results,03_Output/results/ceara_historical_age12_vaccine_counterfactual,results,three_arm_results.rds + nnv/ bundle,results
02_Script/40_renewal_model/37_ceara_historical_age12_vaccine_counterfactual/reports,03_Output/reports/ceara_historical_age12_vaccine_counterfactual,reports,assessment reports,reports
02_Script/40_renewal_model/30_bahia_v4_9_replication/outputs*,03_Output/model_fits/bahia/v4_9_replication/outputs*,model_fits,Bahia case-only + multisite-serology + global-q-multisite fits (3 output trees),model_fits
02_Script/40_renewal_model/30_bahia_v4_9_replication (1 .md doc),03_Output/reports/bahia_v4_9_replication,reports,BAHIA_V4_9_FROZEN_MODEL_ASSESSMENT.md,reports
02_Script/40_renewal_model/31_bahia_spatial_turnover_diagnostic (1 .md doc),03_Output/reports/bahia_spatial_turnover_diagnostic,reports,design/result report,reports
02_Script/40_renewal_model/32_bahia_global_q_local_consistency_audit (1 .md doc),03_Output/reports/bahia_global_q_local_consistency_audit,reports,design/result report,reports
02_Script/40_renewal_model/33_pernambuco_v4_9_replication/outputs (8 model subfolders),03_Output/model_fits/pernambuco/v4_9_replication/outputs,model_fits,modelA/B/C/D + spatial0/spatial5 + fixed_q_sweep fits,model_fits
02_Script/40_renewal_model/33_pernambuco_v4_9_replication (8 .md docs),03_Output/reports/pernambuco_v4_9_replication,reports,design/result reports,reports
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication/outputs,03_Output/model_fits/rio_de_janeiro/v4_9_replication/outputs,model_fits,state+city case-only/U10/fixedq fits,model_fits
02_Script/40_renewal_model/34_rio_de_janeiro_v4_9_replication (7 .md docs),03_Output/reports/rio_de_janeiro_v4_9_replication,reports,design/result reports incl. RJ_v49_input_audit.md (write-target also updated in 03_rj_v49_input_audit.R),reports
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication/outputs,03_Output/model_fits/mato_grosso/v4_9_replication/outputs,model_fits,case-only + ad098 rescue + fixed-q profile fits,model_fits
02_Script/40_renewal_model/35_mato_grosso_v4_9_replication (4 .md docs),03_Output/reports/mato_grosso_v4_9_replication,reports,design/result reports,reports
02_Script/40_renewal_model (entire tree),DELETED,n/a,folder fully emptied and removed once every above move was verified by a live end-to-end pipeline re-run per state (Ceara/Bahia/Pernambuco/RJ/MT all re-validated Stage 3-5/3-9 byte-identical),final-cleanup
